	ensg	entrez_v99	gene_name_v99	ensg_v99
0	ENSG00000007923	55735	DNAJC11	ENSG00000007923.16
1	ENSG00000008128	728642	CDK11A	ENSG00000008128.23
2	ENSG00000008130	65220	NADK	ENSG00000008130.15
3	ENSG00000009724	10747	MASP2	ENSG00000009724.17
4	ENSG00000011021	1185	CLCN6	ENSG00000011021.23
5	ENSG00000028137	7133	TNFRSF1B	ENSG00000028137.19
6	ENSG00000041988	90326	THAP3	ENSG00000041988.15
7	ENSG00000048707	55187	VPS13D	ENSG00000048707.15
8	ENSG00000049239	9563	H6PD	ENSG00000049239.12
9	ENSG00000049245	9341	VAMP3	ENSG00000049245.13
10	ENSG00000049246	8863	PER3	ENSG00000049246.14
11	ENSG00000049247	10911	UTS2	ENSG00000049247.13
12	ENSG00000049249	3604	TNFRSF9	ENSG00000049249.8
13	ENSG00000054523	23095	KIF1B	ENSG00000054523.17
14	ENSG00000067606	5590	PRKCZ	ENSG00000067606.17
15	ENSG00000069424	8514	KCNAB2	ENSG00000069424.15
16	ENSG00000069812	54626	HES2	ENSG00000069812.11
17	ENSG00000074800	2023	ENO1	ENSG00000074800.16
18	ENSG00000078369	2782	GNB1	ENSG00000078369.18
19	ENSG00000078808	51150	SDF4	ENSG00000078808.17
20	ENSG00000078900	7161	TP73	ENSG00000078900.15
21	ENSG00000083444	5351	PLOD1	ENSG00000083444.17
22	ENSG00000097021	11332	ACOT7	ENSG00000097021.19
23	ENSG00000107404	1855	DVL1	ENSG00000107404.20
24	ENSG00000116151	79906	MORN1	ENSG00000116151.14
25	ENSG00000116198	9731	CEP104	ENSG00000116198.13
26	ENSG00000116213	49856	WRAP73	ENSG00000116213.16
27	ENSG00000116237	23463	ICMT	ENSG00000116237.16
28	ENSG00000116251	6146	RPL22	ENSG00000116251.11
29	ENSG00000116254	26038	CHD5	ENSG00000116254.18
30	ENSG00000116273	148479	PHF13	ENSG00000116273.6
31	ENSG00000116285	54206	ERRFI1	ENSG00000116285.13
32	ENSG00000116288	11315	PARK7	ENSG00000116288.13
33	ENSG00000116649	6723	SRM	ENSG00000116649.10
34	ENSG00000116661	26232	FBXO2	ENSG00000116661.11
35	ENSG00000116663	26270	FBXO6	ENSG00000116663.11
36	ENSG00000116670	10459	MAD2L2	ENSG00000116670.15
37	ENSG00000116685	90231	KIAA2013	ENSG00000116685.16
38	ENSG00000116688	9927	MFN2	ENSG00000116688.17
39	ENSG00000116691	60672	MIIP	ENSG00000116691.11
40	ENSG00000116721	65121	PRAMEF1	ENSG00000116721.9
41	ENSG00000116726	390999	PRAMEF12	ENSG00000116726.4
42	ENSG00000116731	7799	PRDM2	ENSG00000116731.22
43	ENSG00000120937	4879	NPPB	ENSG00000120937.9
44	ENSG00000120942	29914	UBIAD1	ENSG00000120942.13
45	ENSG00000120948	23435	TARDBP	ENSG00000120948.17
46	ENSG00000120949	943	TNFRSF8	ENSG00000120949.15
47	ENSG00000120952	65122	PRAMEF2	ENSG00000120952.4
48	ENSG00000127054	54973	INTS11	ENSG00000127054.20
49	ENSG00000130762	27237	ARHGEF16	ENSG00000130762.15
50	ENSG00000130764	57470	LRRC47	ENSG00000130764.10
51	ENSG00000130939	10277	UBE4B	ENSG00000130939.20
52	ENSG00000130940	54897	CASZ1	ENSG00000130940.15
53	ENSG00000131584	116983	ACAP3	ENSG00000131584.19
54	ENSG00000131591	54991	C1orf159	ENSG00000131591.17
55	ENSG00000131686	765	CA6	ENSG00000131686.15
56	ENSG00000131697	261734	NPHP4	ENSG00000131697.18
57	ENSG00000132879	93611	FBXO44	ENSG00000132879.14
58	ENSG00000142583	6518	SLC2A5	ENSG00000142583.18
59	ENSG00000142599	473	RERE	ENSG00000142599.19
60	ENSG00000142606	79258	MMEL1	ENSG00000142606.16
61	ENSG00000142609	85452	CFAP74	ENSG00000142609.18
62	ENSG00000142611	63976	PRDM16	ENSG00000142611.17
63	ENSG00000142655	5195	PEX14	ENSG00000142655.13
64	ENSG00000142657	5226	PGD	ENSG00000142657.21
65	ENSG00000149527	9651	PLCH2	ENSG00000149527.18
66	ENSG00000157330	93190	C1orf158	ENSG00000157330.10
67	ENSG00000157870	127281	PRXL2B	ENSG00000157870.16
68	ENSG00000157873	8764	TNFRSF14	ENSG00000157873.17
69	ENSG00000157881	55229	PANK4	ENSG00000157881.15
70	ENSG00000157911	5192	PEX10	ENSG00000157911.10
71	ENSG00000157916	11079	RER1	ENSG00000157916.20
72	ENSG00000157933	6497	SKI	ENSG00000157933.10
73	ENSG00000158109	127262	TPRG1L	ENSG00000158109.15
74	ENSG00000158286	388591	RNF207	ENSG00000158286.13
75	ENSG00000158292	387509	GPR153	ENSG00000158292.7
76	ENSG00000160049	1676	DFFA	ENSG00000160049.12
77	ENSG00000160072	83858	ATAD3B	ENSG00000160072.20
78	ENSG00000160075	29101	SSU72	ENSG00000160075.12
79	ENSG00000160087	118424	UBE2J2	ENSG00000160087.20
80	ENSG00000162408	79707	NOL9	ENSG00000162408.11
81	ENSG00000162413	9903	KLHL21	ENSG00000162413.16
82	ENSG00000162426	50651	SLC45A1	ENSG00000162426.14
83	ENSG00000162441	84328	LZIC	ENSG00000162441.12
84	ENSG00000162444	116362	RBP7	ENSG00000162444.12
85	ENSG00000162490	374946	DRAXIN	ENSG00000162490.7
86	ENSG00000162493	10630	PDPN	ENSG00000162493.16
87	ENSG00000162494	126755	LRRC38	ENSG00000162494.6
88	ENSG00000162496	9249	DHRS3	ENSG00000162496.9
89	ENSG00000162571	254173	TTLL10	ENSG00000162571.14
90	ENSG00000162572	6339	SCNN1D	ENSG00000162572.21
91	ENSG00000162576	54587	MXRA8	ENSG00000162576.16
92	ENSG00000162585	199990	FAAP20	ENSG00000162585.17
93	ENSG00000162591	1953	MEGF6	ENSG00000162591.16
94	ENSG00000162592	148870	CCDC27	ENSG00000162592.10
95	ENSG00000169598	1677	DFFB	ENSG00000169598.15
96	ENSG00000169717	140625	ACTRT2	ENSG00000169717.7
97	ENSG00000169885	163688	CALML6	ENSG00000169885.10
98	ENSG00000169962	83756	TAS1R3	ENSG00000169962.5
99	ENSG00000169972	126789	PUSL1	ENSG00000169972.12
100	ENSG00000171603	22883	CLSTN1	ENSG00000171603.18
101	ENSG00000171608	5293	PIK3CD	ENSG00000171608.16
102	ENSG00000171612	84275	SLC25A33	ENSG00000171612.7
103	ENSG00000171621	80176	SPSB1	ENSG00000171621.14
104	ENSG00000171680	57449	PLEKHG5	ENSG00000171680.22
105	ENSG00000171729	55092	TMEM51	ENSG00000171729.14
106	ENSG00000171735	23261	CAMTA1	ENSG00000171735.19
